,Name,City,Portfolio Manager,Trustee,Supervisory organisation
600,Gilbert Gras Conseil,Crans VD,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
601,GIS Advisers SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
602,GISEV Invest SA,Lugano,X,X,OSFIN Organisation de surveillance financière
603,GKC Advisors SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
604,Glauser+Partner Vorsorge AG,Bern,X,,OSFIN Organisation de surveillance financière
605,Glaux AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
606,GLOBAL FAMILY MANAGEMENT SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
607,Global Gate Asset Management SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
608,Global Keys SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
609,Global Wealth Advisors & Associés SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
610,GLOBALLY SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
611,GlobalView Investments SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
612,Globinvest Asset Management AG,Wetzikon ZH,X,,FINcontrol Suisse AG
613,GLSO Finanz AG,Küsnacht ZH,X,,FINcontrol Suisse AG
614,GMBP AG,Basel,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
615,Goldberg Capital Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
616,Golden Hawk Invest AG,Pfäffikon SZ,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
617,Good Values for Money SA,Lausanne 25,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
618,Good Wealth AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
619,Goodwill Asset Management SA,Chiasso,X,,OSFIN Organisation de surveillance financière
620,Gordian Partners Family Office AG,Wollerau,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
621,GORDION UPSIDE Wealth Management SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
622,Gotthard Partners AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
623,Graf Finanz GmbH,Tägerwilen,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
624,Graian Capital Management SA,Lugano,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
625,Granit Trust Services SA,Lausanne,,X,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
626,Granite Group AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
627,Grether MacGeorge Investors GmbH,Basel,X,,OSFIN Organisation de surveillance financière
628,Grimaldi & Partners AG,Zürich,X,,FINcontrol Suisse AG
629,Grolimund Finanzinvest AG,Küsnacht ZH,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
630,GRÜEBLER VERMOEGENSVERWALTUNG AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
631,GSI Global Strategic Investments AG,Zürich,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
632,GSK and Partners SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
633,Guardian Capital AG,Zürich,X,,FINcontrol Suisse AG
634,Guerra & Partner AG,Aesch (Neftenbach),X,,OSFIN Organisation de surveillance financière
635,Gut Asset Management SA,Nyon,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
636,GUT GROSS & PARTNER AG,Kloten,X,,OSFIN Organisation de surveillance financière
637,Gutzwiller SA Genève,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
638,GVA ASSOCIES SA,Genève,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
639,GVAdvisors SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
640,GWL ASSET MANAGEMENT AG,Baar,X,,OSFIN Organisation de surveillance financière
641,GWM AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
642,"Hächler + Partner AG, Vermögensverwaltung und Finanzberatung",Rorschach,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
643,"Hächler Martin, Vermögensverwaltung",Rombach,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
644,Häfliger & Partners Asset Management SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
645,Hans Blatti,Zug,X,,OSFIN Organisation de surveillance financière
646,Hans Peter Ehrler,Zollikon,X,,FINcontrol Suisse AG
647,Harris Moor Finance SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
648,"Hauser & Hauser Rechtsanwälte, Inhaber Tobias Hauser",Zürich,X,,FINcontrol Suisse AG
649,HBS SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
650,HCP Asset Management SA,Genève,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
651,HealthCap VI GP SA,Lausanne,X,,SO-FIT Organisme de Surveillance pour Intermédiaires Financiers & Trustees
652,Heinzer Kaufmann & Co. AG,Zug,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
653,Heissenberger Vermögensverwaltung AG,Zürich,X,,FINcontrol Suisse AG
654,Helbling & Partner AG Vermögensverwaltung,Zürich,X,,FINcontrol Suisse AG
655,Heldstab Treuhand AG,Zug,X,,FINcontrol Suisse AG
656,Helfenstein Asset Management AG,Luzern,X,,FINcontrol Suisse AG
657,Helix Fiduciary AG,Zürich,,X,FINcontrol Suisse AG
658,HELMS Family Office SA,Genève,X,,ORGANISME DE SURVEILLANCE DES INSTITUTS FINANCIERS OSIF
659,Helvetia Investment Advisors SA,Lugano,X,,AOOS - Schweizerische Aktiengesellschaft für Aufsicht
